Data was saved using Vista Data Vision,
Saved: 2021-07-07 21:52:15,
,
Time Period: 2020-05-31 00:00:00 - 2020-10-31 00:00:00,
Time,CPCRW Caribou Peak: TippingBucket_TOT mm CPEAK[mm]
5/31/20 0:00,0
5/31/20 1:00,0
5/31/20 2:00,0
5/31/20 3:00,0
5/31/20 4:00,0
5/31/20 5:00,0
5/31/20 6:00,0
5/31/20 7:00,0
5/31/20 8:00,0
5/31/20 9:00,0
5/31/20 10:00,0
5/31/20 11:00,0
5/31/20 12:00,0
5/31/20 13:00,0
5/31/20 14:00,0
5/31/20 15:00,0
5/31/20 16:00,0
5/31/20 17:00,0
5/31/20 18:00,0
5/31/20 19:00,0
5/31/20 20:00,0
5/31/20 21:00,0
5/31/20 22:00,0
5/31/20 23:00,0
6/1/20 0:00,0
6/1/20 1:00,0
6/1/20 2:00,0
6/1/20 3:00,0
6/1/20 4:00,0
6/1/20 5:00,0
6/1/20 6:00,0
6/1/20 7:00,0
6/1/20 8:00,0
6/1/20 9:00,0
6/1/20 10:00,0
6/1/20 11:00,0
6/1/20 12:00,0
6/1/20 13:00,0
6/1/20 14:00,0
6/1/20 15:00,0
6/1/20 16:00,0
6/1/20 17:00,0
6/1/20 18:00,0
6/1/20 19:00,0
6/1/20 20:00,0
6/1/20 21:00,0
6/1/20 22:00,0
6/1/20 23:00,0
6/2/20 0:00,0
6/2/20 1:00,0
6/2/20 2:00,0
6/2/20 3:00,0
6/2/20 4:00,0
6/2/20 5:00,0
6/2/20 6:00,0
6/2/20 7:00,0
6/2/20 8:00,0
6/2/20 9:00,0
6/2/20 10:00,0
6/2/20 11:00,0
6/2/20 12:00,0
6/2/20 13:00,0
6/2/20 14:00,0
6/2/20 15:00,0
6/2/20 16:00,0
6/2/20 17:00,0
6/2/20 18:00,0
6/2/20 19:00,0
6/2/20 20:00,0
6/2/20 21:00,0
6/2/20 22:00,0
6/2/20 23:00,0
6/3/20 0:00,0
6/3/20 1:00,0
6/3/20 2:00,0
6/3/20 3:00,0
6/3/20 4:00,0
6/3/20 5:00,0
6/3/20 6:00,0
6/3/20 7:00,0
6/3/20 8:00,0
6/3/20 9:00,0
6/3/20 10:00,0
6/3/20 11:00,0.254
6/3/20 12:00,0
6/3/20 13:00,7.62
6/3/20 14:00,6.096
6/3/20 15:00,4.572
6/3/20 16:00,2.032
6/3/20 17:00,0
6/3/20 18:00,0
6/3/20 19:00,0
6/3/20 20:00,0
6/3/20 21:00,0
6/3/20 22:00,0
6/3/20 23:00,0
6/4/20 0:00,0
6/4/20 1:00,0
6/4/20 2:00,0
6/4/20 3:00,0
6/4/20 4:00,0
6/4/20 5:00,0
6/4/20 6:00,0
6/4/20 7:00,0
6/4/20 8:00,0
6/4/20 9:00,0
6/4/20 10:00,0
6/4/20 11:00,0
6/4/20 12:00,0
6/4/20 13:00,0
6/4/20 14:00,0
6/4/20 15:00,0
6/4/20 16:00,0
6/4/20 17:00,0
6/4/20 18:00,0
6/4/20 19:00,0
6/4/20 20:00,0
6/4/20 21:00,0
6/4/20 22:00,0
6/4/20 23:00,0
6/5/20 0:00,0
6/5/20 1:00,0
6/5/20 2:00,0
6/5/20 3:00,0
6/5/20 4:00,0
6/5/20 5:00,0
6/5/20 6:00,0
6/5/20 7:00,0
6/5/20 8:00,0
6/5/20 9:00,0
6/5/20 10:00,0
6/5/20 11:00,0
6/5/20 12:00,0
6/5/20 13:00,0
6/5/20 14:00,1.524
6/5/20 15:00,0.762
